0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
0.47,0.64,0.20,0.57,0.43,0.35,0.31,0.52,0.63,0.46,0.54,0.50,0.41,0.59,0.62
0.45,0.62,0.18,0.55,0.41,0.33,0.29,0.50,0.61,0.44,0.52,0.48,0.39,0.57,0.60
0.46,0.63,0.19,0.56,0.42,0.34,0.30,0.51,0.62,0.45,0.53,0.49,0.40,0.58,0.61
